Starting fitting with 32 workers on previous 1000 parameter combinations...

=== 1000 Iterations Results ===
Total experiments: 1500

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer    RemoveLayer  NewNeuron    RemoveNeuron  NewRule     RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64     Float64      Float64      Float64       Float64     Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   49 │  0.135552    0.00752417   1.12142       0.0536438    0.159795     0.161512   0.0677093   0.0650219      0.91875      0.96875                      0
   50 │  0.182744    0.0579462   -0.811121     -0.991656     0.191051     0.146533   0.186267    0.0744286      0.91875      1.0                          1
   51 │  0.182744    0.0629462    0.188879      0.00834448   0.191051     0.146533   0.186267    0.0744286      0.91875      0.96875                      0
   52 │  0.12769     0.0282001    0.152246      0.0526225    0.0546398    0.180279   0.0910361   0.0943802      0.916667     0.96875                      0
   53 │  1.12769     0.0232001    0.147246      0.0526225    0.0546398    0.180279   0.0910361   0.0943802      0.916667     1.0                          2
   54 │  0.152156    0.111746     0.00321785    0.123535     0.121457     0.111945   0.0810814   0.0397341      0.916667     0.96875                      0
   55 │  0.182333    0.122338     0.123909      0.146437     0.0965279    0.187423   0.0794977   0.00690045     0.916667     1.0                          1
   56 │  0.0814545   0.0745212    0.163857      0.00540739   0.134643     0.103979   0.0715813   0.0324708      0.916667     0.96875                      0
   57 │  0.0814545   0.0745212    0.158857      0.00540739   0.139643     0.103979   0.0715813   0.0324708      0.916667     0.96875                      0
   58 │  0.0279274   0.017226     0.141449      0.0148304    0.128898     0.193252   0.0299218   0.0389143      0.916667     0.96875                      0
   59 │  0.0279274   0.017226     1.14145       0.0148304    0.123898     0.188252   0.0299218   0.0389143      0.916667     1.0                          1
   60 │  0.161791   -0.965658     0.0965648     0.044201     0.1434       0.133013   0.133041    0.146628       0.916667     1.0                          1
   61 │  0.166791   -0.965658     0.0965648     0.044201     0.1434       0.133013   0.133041    0.146628       0.916667     0.96875                      0
   62 │  0.162626    0.169187     0.138882      0.0833369    0.116215     0.166546   0.0818039   0.0781038      0.916667     0.96875                      0
   63 │  0.148331    0.087875     0.163139      0.00444503   0.180335     0.137078   0.0770766   0.0910401      0.916667     0.96875                      0
   64 │  0.148331    0.087875     0.158139      0.00944503   0.185335     0.137078   0.0770766   0.0910401      0.916667     0.96875                      0
   65 │  0.148331    0.087875     0.163139      0.00444503   0.185335     0.137078   0.0770766  -0.90896        0.916667     1.0                          2
   66 │  0.148331    0.087875     0.163139      0.00444503   0.185335     0.137078   0.0770766   0.0910401      0.916667     1.0                          1
   67 │  1.14833     0.092875     0.163139      0.00444503   0.185335     0.137078   0.0770766   0.0910401      0.916667     0.96875                      0
   68 │  0.0547396   0.0227965    0.00739434   -0.810276     0.160364     0.182053   0.144495    0.0779669      0.916667     1.0                          1
   69 │  0.0941494  -0.877424     0.0148985     0.0771466    0.158136     0.13053    0.183831    0.094325       0.916667     1.0                          1
   70 │  0.161939    0.105187    -0.84427      -0.982499     0.103173     0.135464   0.116401    0.0775203      0.916667     1.0                          1
