Starting fitting with 32 workers on previous 1000 parameter combinations...

=== 1000 Iterations Results ===
Total experiments: 5000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer     RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64      Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   49 │ 0.182333     0.122338     0.123909      0.146437     0.0965279     0.187423   0.0794977   0.00690045      0.922917     1.0                          1
   50 │ 0.183335     0.125354     0.0449128     0.0897412    0.121659      0.186293   0.0852727   0.0883816       0.922917     0.96875                      0
   51 │ 0.125862     0.0342723    0.159353      0.034569     0.0675867     0.190604   0.0801386   0.0974218       0.922917     1.0                          1
   52 │ 0.114032     0.0379206    0.136023      0.0568697    0.0603128     0.182451   0.109844    0.0755928       0.922917     1.0                          1
   53 │ 0.124644     0.0318173    0.132023      0.0403885    0.0548901     0.175467   0.103693    0.0995549       0.922917     0.96875                      0
   54 │ 0.173577     0.113781     0.0520102     0.0825917    0.140052      0.183799   0.0972219   0.0726027       0.922917     1.0                          1
   55 │ 0.196244     0.128408     0.0512411     0.0722103    0.126273      0.193639   0.101092    0.0981013       0.922917     0.96875                      0
   56 │ 0.072376     0.0800576    0.177389      0.0219042    0.135904      0.0937362  0.0651089   0.0135959       0.922917     1.0                          2
   57 │ 0.0407582    0.035373     0.158774      0.0339756    0.13746       0.171937   0.0347692   0.0318387       0.922917     1.0                          1
   58 │ 0.156218     0.0389316    0.091267      0.0477627    0.129554      0.115484   0.138528    0.146279        0.922917     1.0                          1
   59 │ 0.148093     0.0752703    0.168539      0.00574384   0.171182      0.12065    0.0887596   0.0951549       0.922917     0.96875                      0
   60 │ 0.138494     0.0689698    0.18203       0.00902343   0.180913      0.123185   0.0799967   0.0968453       0.922917     1.0                          1
   61 │ 0.13168      0.095434     0.155528      0.0215967    0.180027      0.137292   0.090889    0.0726434       0.922917     1.0                          1
   62 │ 0.142886     0.117201     0.158542      0.013793     0.114713      0.154182   0.133901    0.0637556       0.922917     0.96875                      0
   63 │ 0.171976     0.119791     0.173679      0.0188512    0.102277      0.12438    0.117044    0.0845457       0.922917     0.96875                      0
   64 │ 0.0494865    0.0681123    0.0132797     0.0658889    0.207748      0.154393   0.167997    0.120375        0.922917     1.0                          1
   65 │ 0.177278     0.0712333    0.199198      0.00900646   0.185174      0.159009   0.183503    0.0578277       0.922917     0.96875                      0
   66 │ 0.192141     0.0384958    0.0316809     0.0323658    0.12125       0.071808   0.045272    0.0654938       0.922917     1.0                          2
   67 │ 0.16051      0.0331385    0.033273      0.0353332    0.124364      0.0717523  0.0475164   0.0303058       0.922917     1.0                          1
   68 │ 0.171841     0.12207      0.174589      0.112319     0.13351       0.17908    0.195423    0.0             0.922917     0.96875                      0
   69 │ 0.175675     0.142476     0.114123      0.0533896    0.139056      0.162175   0.172726    0.102528        0.922917     0.96875                      0
   70 │ 0.176571     0.13752      0.138876      0.0859701    0.118607      0.165921   0.182609    0.100755        0.922917     1.0                          1
   71 │ 0.166861     0.174942     0.159617      0.0298982    0.0787345     0.0777852  0.0068245   0.0368363       0.922917     1.0                          3
   72 │ 0.184757     0.050752     0.169122      0.0128883    0.0533928     0.122441   0.118007    0.0820897       0.922917     1.0                          1
   73 │ 0.208181     0.0320995    0.164564      0.0214638    0.0836569     0.119763   0.0949933   0.108111        0.922917     1.0                          2
   74 │ 0.0984964    0.0671142    0.173433      0.180904     0.147284      0.148332   0.126203    0.0336504       0.922917     1.0                          1
   75 │ 0.0971945    0.0291623    0.0345876     0.0642458    0.199351      0.188825   0.0495766   0.0930549       0.922917     1.0                          1
   76 │ 0.088689     0.049143     0.00731084    0.064477     0.175692      0.182078   0.0598441   0.0805136       0.922917     1.0                          1
   77 │ 0.0575739    0.20123      0.0685366     0.0241152    0.0705232     0.142379   0.162711    0.111856        0.922917     0.96875                      0
   78 │ 0.180357     0.113265     0.0           0.0563973    0.0673166     0.0676483  0.0753788   0.030785        0.922917     1.0                          1
   79 │ 0.176313     0.0700317    0.0751465     0.0252984    0.140387      0.158575   0.0304458   0.0410564       0.922917     1.0                          1
   80 │ 0.178882     0.0512811    0.0985596     0.0187716    0.153131      0.150035   0.00505181  0.0538258       0.922917     0.96875                      0
   81 │ 0.131461     0.0429843    0.155737      0.062269     0.0666002     0.165237   0.100283    0.0758979       0.920833     1.0                          1
   82 │ 0.135202     0.0358161    0.128262      0.0685132    0.0519251     0.177784   0.0860002   0.0749462       0.920833     1.0                          1
   83 │ 0.133085     0.109359     0.0           0.118078     0.123222      0.109889   0.0873628   0.0367419       0.920833     1.0                          2
   84 │ 0.166296     0.110528     0.0551676     0.10039      0.140388      0.180681   0.0919669   0.107228        0.920833     0.96875                      0
   85 │ 0.0860309    0.0859251    0.165496      0.0          0.118677      0.107029   0.0683523   0.0306816       0.920833     1.0                          2
   86 │ 0.0114725    0.0132061    0.140763      0.0255441    0.106245      0.190049   0.0451327   0.0405579       0.920833     1.0                          3
   87 │ 0.0190547    0.0184028    0.139685      0.00664869   0.142219      0.176413   0.0204798   0.0276262       0.920833     0.96875                      0
   88 │ 0.021078     0.00947898   0.151259      0.0137183    0.132087      0.172456   0.0342338   0.0258344       0.920833     0.96875                      0
   89 │ 0.163326     0.0349967    0.0820809     0.0426293    0.15117       0.143876   0.136535    0.12933         0.920833     0.96875                      0
   90 │ 0.150385     0.18532      0.148345      0.0888829    0.13297       0.155079   0.0978636   0.0974341       0.920833     0.96875                      0
   91 │ 0.159307     0.0927956    0.146462      0.0          0.202817      0.13524    0.0848405   0.102288        0.920833     1.0                          1
   92 │ 0.0969316    0.133103     0.00203272    0.0751116    0.164595      0.126937   0.184049    0.110046        0.920833     0.9375                       0
   93 │ 0.158122     0.0948332    0.161063      0.00308743   0.099201      0.134764   0.119846    0.063419        0.920833     1.0                          1
   94 │ 0.150771     0.123278     0.140244      0.0128124    0.0881178     0.131703   0.0990469   0.0677053       0.920833     0.96875                      0
   95 │ 0.150842     0.0118681    0.137399      0.0498738    0.139987      0.154669   0.0599168   0.0452176       0.920833     1.0                          1
   96 │ 0.127224     0.00354107   0.131529      0.0781451    0.143971      0.15083    0.0840145   0.0740355       0.920833     0.96875                      0
   97 │ 0.133731     0.00925895   0.113566      0.0585172    0.15368       0.176372   0.0756067   0.0712123       0.920833     0.96875                      0
   98 │ 0.133096     0.0186658    0.120892      0.0549068    0.14937       0.163878   0.0512518   0.080084        0.920833     1.0                          1
   99 │ 0.182413     0.137542     0.113018      0.068402     0.133511      0.141882   0.183416    0.104172        0.920833     1.0                          1
  100 │ 0.128047     0.0428739    0.179157      0.194025     0.185504      0.183684   0.131695    0.0396597       0.920833     1.0                          1
  101 │ 0.19292      0.0613516    0.149496      0.0156002    0.0513929     0.0643435  0.0806586   0.0939767       0.920833     1.0                          2
  102 │ 0.189965     0.0675277    0.163598      0.0          0.0609966     0.0718958  0.0492216   0.0671421       0.920833     0.96875                      0
  103 │ 0.161788     0.187943     0.139175      0.00460096   0.0973957     0.0858268  0.0289716   0.0406538       0.920833     0.96875                      0
