Starting fitting with 32 workers on previous 1000 parameter combinations...

=== !200! Iterations Results ===
Total experiments: 1000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer   RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64    Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   48 │ 0.0969316  0.133103     0.00203272    0.0751116    0.164595      0.126937   0.184049     0.110046       0.889583     0.90625                      0
   49 │ 0.175767   0.0404026    0.0985218     0.0242739    0.158199      0.156591   0.0292463    0.0336439      0.889583     0.9375                       0
   50 │ 0.168943   0.0419565    0.0973108     0.017336     0.147693      0.157689   0.0159766    0.0419893      0.889583     0.96875                      0
   51 │ 0.163125   0.0585666    0.0934087     0.0132429    0.139805      0.16051    0.0314987    0.0494425      0.889583     0.96875                      0
   52 │ 0.139958   0.0109399    0.117588      0.0468695    0.13618       0.153768   0.0503076    0.0492963      0.889583     0.9375                       0
   53 │ 0.143174   0.0102499    0.115079      0.0544227    0.154957      0.16257    0.0930614    0.0626305      0.889583     0.96875                      0
   54 │ 0.164632   0.0788545    0.163796      0.0          0.188926      0.145827   0.0999434    0.0849348      0.889583     0.9375                       0
   55 │ 0.203534   0.0406311    0.169775      0.000108748  0.0691398     0.131567   0.122351     0.106818       0.889583     0.9375                       0
   56 │ 0.10354    0.0553046    0.150423      0.0171584    0.163666      0.0940542  0.0476099    0.0507203      0.889583     0.96875                      0
   57 │ 0.0894489  0.0361185    0.146236      0.00721979   0.160741      0.0866836  0.0606979    0.0459822      0.889583     0.9375                       0
   58 │ 0.135055   0.0114126    0.119612      0.0500229    0.133203      0.165826   0.0828132    0.0603648      0.889583     0.9375                       0
   59 │ 0.106687   0.12299      0.00970243    0.0347701    0.12995       0.197899   0.139772     0.0119161      0.889583     0.9375                       0
   60 │ 0.167128   0.0694142    0.0942769     0.000630651  0.13375       0.161183   0.0104573    0.0329307      0.889583     0.96875                      0
   61 │ 0.0354804  0.186246     0.0423355     0.00465965   0.0862893     0.140631   0.195829     0.11903        0.889583     0.9375                       0
   62 │ 0.191111   0.0298703    0.0           0.0328241    0.107464      0.0924092  0.0608568    0.068205       0.889583     0.96875                      0
   63 │ 0.176822   0.0467394    0.154241      0.0          0.0761131     0.103018   0.103859     0.104968       0.889583     0.90625                      0
   64 │ 0.203464   0.0391891    0.130621      0.0134443    0.0725497     0.12576    0.104544     0.0854039      0.8875       0.96875                      0
