Starting fitting with 32 workers on previous 1000 parameter combinations...

=== 1000 Iterations Results ===
Total experiments: 5000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer   RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64    Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   49 │ 0.16741    0.120183     0.154376      0.0932183    0.124741      0.176406   0.173536     0.0874761      0.927083     1.0                          1
   50 │ 0.188272   0.0913489    0.170772      0.00581989   0.0670346     0.076684   0.070263     0.0689627      0.927083     1.0                          1
   51 │ 0.174367   0.0726584    0.147837      0.0117635    0.0542639     0.103517   0.0844336    0.056493       0.927083     0.96875                      0
   52 │ 0.136528   0.0440033    0.144199      0.0434347    0.0431005     0.173486   0.0744341    0.0781798      0.927083     1.0                          1
   53 │ 0.171734   0.141278     0.0590483     0.0889622    0.103192      0.169797   0.07226      0.0707838      0.927083     1.0                          2
   54 │ 0.0976184  0.0564902    0.162677      0.0          0.147489      0.0941375  0.0654492    0.0386534      0.927083     0.96875                      0
   55 │ 0.0306594  0.00548882   0.160618      0.0291833    0.120828      0.172263   0.0369912    0.0560885      0.927083     0.96875                      0
   56 │ 0.0295506  0.0198459    0.155925      0.00830116   0.109272      0.169269   0.0311973    0.0479846      0.927083     1.0                          1
   57 │ 0.158249   0.0943203    0.163155      0.00523111   0.197623      0.131072   0.0929546    0.0924491      0.927083     0.96875                      0
   58 │ 0.138608   0.084535     0.174467      6.58409e-6   0.187084      0.152879   0.0896128    0.102117       0.927083     1.0                          1
   59 │ 0.133884   0.00455321   0.11054       0.0553065    0.171052      0.142374   0.0662923    0.0648678      0.927083     1.0                          1
   60 │ 0.118099   0.0559605    0.208146      0.192845     0.157249      0.193059   0.142672     0.0622603      0.927083     1.0                          1
   61 │ 0.208873   0.0862475    0.196385      0.177409     0.161218      0.176091   0.0690505    0.064813       0.927083     1.0                          2
   62 │ 0.151      0.185381     0.176956      0.0930886    0.181154      0.138592   0.0489095    0.093186       0.927083     1.0                          1
   63 │ 0.111438   0.113684     0.0155788     0.0354835    0.127258      0.20242    0.151403     0.00118064     0.927083     1.0                          1
   64 │ 0.173068   0.143085     0.0107524     0.0375009    0.0651779     0.0881419  0.0651941    0.0494561      0.927083     1.0                          1
   65 │ 0.16618    0.0506264    0.089859      0.0358588    0.153944      0.183387   0.0363488    0.0517571      0.927083     1.0                          2
   66 │ 0.166447   0.0558312    0.0839465     0.00492199   0.133848      0.158542   0.0092267    0.0355089      0.927083     1.0                          1
   67 │ 0.187393   0.0486092    0.103521      0.00922236   0.168039      0.169307   0.0176099    0.0343599      0.925        1.0                          1
   68 │ 0.170544   0.15775      0.139566      0.0798261    0.132663      0.181336   0.103983     0.0786378      0.925        0.96875                      0
   69 │ 0.172002   0.157703     0.151196      0.0642027    0.141366      0.170369   0.106609     0.0892378      0.925        0.96875                      0
   70 │ 0.154393   0.0          0.125787      0.0599453    0.173321      0.17594    0.0762608    0.0703434      0.925        1.0                          2
   71 │ 0.167557   0.052639     0.0826354     0.0268034    0.139087      0.16266    0.0389489    0.0299823      0.925        0.96875                      0
   72 │ 0.134477   0.0          0.124817      0.0472149    0.142247      0.153187   0.0629828    0.0522579      0.925        1.0                          1
   73 │ 0.137908   0.195902     0.162603      0.0936123    0.195401      0.141022   0.0826852    0.107729       0.925        1.0                          3
   74 │ 0.0869063  0.0593559    0.174581      0.0144885    0.154531      0.101025   0.07159      0.0365737      0.925        0.96875                      0
