Starting random search with 32 workers on 50000 parameter combinations...

=== Random Search Results ===
Total experiments: 50000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer     RemoveLayer  NewNeuron    RemoveNeuron  NewRule     RemoveRule   NewInput     RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64      Float64      Float64      Float64       Float64     Float64      Float64      Float64      Float64      Float64     UInt16
──────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   48 │ 0.079587     0.00538672   0.0204846     0.00977188   0.0896622   0.027554     0.00840804   0.0136216       0.885417     0.96875                      0
   49 │ 0.0186514    0.122173     0.0611174     0.163656     0.0543151   0.0881       0.129045     0.00206409      0.885417     0.9375                       0
   50 │ 0.136144     0.0660812    0.14925       0.0623768    0.0584733   0.0846426    0.194852     0.041442        0.885417     0.9375                       0
   51 │ 0.165312     0.00158998   0.186418      0.0710633    0.143316    0.0711219    0.0672239    0.00520725      0.885417     0.9375                       0
   52 │ 0.0563795    0.0313632    0.00966168    0.106406     0.0312497   0.199587     0.0791371    0.0543505       0.885417     0.96875                      0
   53 │ 0.0614294    0.176573     0.183394      0.0917487    0.131517    0.168145     0.166864     0.0504414       0.885417     0.90625                      0
   54 │ 0.109367     0.0815109    0.020432      0.0366195    0.134932    0.196915     0.0227197    0.10779         0.885417     0.9375                       0
   55 │ 0.159615     0.0837599    0.13148       0.0304813    0.119815    0.110194     0.141395     0.0855688       0.885417     1.0                          1
   56 │ 0.11362      0.191        0.0865597     0.179049     0.0727908   0.199518     0.0987685    0.0641581       0.883333     0.9375                       0
   57 │ 0.0285081    0.0641515    0.100118      0.124814     0.196023    0.137452     0.191873     0.11566         0.883333     0.9375                       0
   58 │ 0.121499     0.127506     0.0334911     0.0195141    0.183468    0.192057     0.117899     0.0516665       0.883333     0.90625                      0
   59 │ 0.137822     0.163812     0.0435447     0.0119807    0.193305    0.163545     0.0187072    0.114258        0.883333     1.0                          1
   60 │ 0.0590774    0.0513718    0.142291      0.0994935    0.14554     0.0874064    0.123102     0.0240595       0.883333     0.90625                      0
   61 │ 0.0896833    0.0134768    0.0165924     0.0129037    0.173386    0.139395     0.0709516    0.042407        0.883333     1.0                          1
   62 │ 0.118539     0.089435     0.17702       0.00201846   0.198204    0.0348637    0.10381      0.00110504      0.883333     0.96875                      0
   63 │ 0.0236642    0.162711     0.0639839     0.0547137    0.135481    0.158955     0.0707731    0.0391034       0.883333     0.90625                      0
   64 │ 0.195252     0.178641     0.047339      0.0307229    0.0583692   0.0696013    0.152129     0.0223889       0.883333     0.9375                       0
   65 │ 0.152095     0.0450837    0.176807      0.164728     0.00392228  0.0706455    0.0928946    0.0236249       0.883333     0.9375                       0
   66 │ 0.0726547    0.090446     0.0456331     0.0412518    0.0601543   0.142553     0.178702     0.158504        0.883333     0.9375                       0
   67 │ 0.102227     0.0523463    0.108519      0.153047     0.143994    0.198458     0.163996     0.0038281       0.883333     0.9375                       0
   68 │ 0.0226549    0.154629     0.0193694     0.0909838    0.051842    0.173411     0.0166637    0.127499        0.883333     0.96875                      0
   69 │ 0.112505     0.0680472    0.0923598     0.0133599    0.113465    0.114284     0.183192     0.047086        0.883333     0.9375                       0
   70 │ 0.166697     0.183035     0.0414612     0.116077     0.170977    0.101654     0.0470511    0.187947        0.883333     1.0                          2
   71 │ 0.107283     0.00136438   0.00945506    0.181931     0.0419345   0.0509251    0.0404988    0.044761        0.883333     0.9375                       0
   72 │ 0.12192      0.128745     0.0484367     0.0639341    0.168548    0.115386     0.118647     0.117022        0.883333     0.96875                      0
   73 │ 0.154975     0.0929112    0.047886      0.0928007    0.139354    0.193844     0.105717     0.150523        0.883333     0.90625                      0
   74 │ 0.00750247   0.182091     0.0601942     0.106952     0.188736    0.133075     0.100231     0.084664        0.883333     0.9375                       0
   75 │ 0.0969826    0.144054     0.194037      0.0719714    0.0208658   0.0907082    0.0960977    0.0791204       0.883333     0.96875                      0
   76 │ 0.0551597    0.120738     0.122613      0.0213385    0.179657    0.130805     0.191362     0.188728        0.883333     0.90625                      0
   77 │ 0.181936     0.0776911    0.0306739     0.10151      0.17993     0.107406     0.116207     0.12334         0.883333     0.9375                       0
   78 │ 0.117541     0.00394993   0.169934      0.0146571    0.103841    0.14219      0.102348     0.181931        0.883333     0.90625                      0
   79 │ 0.148116     0.103544     0.0649749     0.181937     0.181501    0.1087       0.155306     0.0521673       0.883333     0.9375                       0
   80 │ 0.136261     0.168162     0.137687      0.121747     0.195321    0.047719     0.0395741    0.0177283       0.883333     0.96875                      0
   81 │ 0.0291121    0.112119     0.152874      0.0077453    0.102377    0.176501     0.173942     0.0253362       0.883333     0.9375                       0
   82 │ 0.11291      0.171447     0.17638       0.143799     0.0152187   0.191455     0.111781     0.027934        0.883333     0.9375                       0
   83 │ 0.0224721    0.0516916    0.139061      0.0193306    0.197952    0.176786     0.179215     0.159174        0.883333     0.9375                       0
   84 │ 0.106691     0.0303384    0.00390859    0.0289881    0.00833663  0.143818     0.180374     0.0380063       0.883333     1.0                          1
   85 │ 0.153374     0.0673192    0.0831127     0.0763802    0.10817     0.137496     0.0770427    0.177303        0.883333     0.9375                       0
   86 │ 0.183854     0.0391773    0.0985958     0.0605328    0.19702     0.0727814    0.120328     0.0153675       0.883333     0.96875                      0
   87 │ 0.0848351    0.146492     0.0185946     0.00159356   0.132646    0.160176     0.144026     0.0647436       0.883333     0.96875                      0
   88 │ 0.145691     0.00425737   0.18295       0.0178531    0.0325805   0.140125     0.0965704    0.0152248       0.883333     0.9375                       0
   89 │ 0.125232     0.191796     0.100225      0.0567733    0.104708    0.15166      0.18278      0.0750347       0.883333     0.9375                       0
   90 │ 0.100864     0.149067     0.147506      0.108279     0.0832979   0.166755     0.0389971    0.133179        0.883333     0.9375                       0
   91 │ 0.179316     0.146817     0.0756446     0.0840595    0.18298     0.145809     0.157546     0.0463802       0.883333     0.9375                       0
   92 │ 0.148442     0.0741615    0.116334      0.0158782    0.109656    0.165479     0.163647     0.0961216       0.883333     0.90625                      0
   93 │ 0.0711023    0.0235114    0.056371      0.0531433    0.129419    0.117781     0.0482683    0.0605614       0.883333     0.96875                      0
   94 │ 0.172153     0.147999     0.174081      0.0241305    0.165785    0.173893     0.0970052    0.103893        0.883333     0.9375                       0
   95 │ 0.155391     0.0185302    0.169539      0.149915     0.0912993   0.0796601    0.146395     0.00351918      0.883333     0.96875                      0
   96 │ 0.12036      0.044835     0.0839269     0.10648      0.153464    0.155641     0.16935      0.148581        0.88125      0.9375                       0
   97 │ 0.00672608   0.156278     0.158166      0.0793749    0.0495443   0.18678      0.0823038    0.17725         0.88125      0.90625                      0
   98 │ 0.175578     0.00577762   0.108548      0.0213328    0.0694574   0.179615     0.111269     0.044142        0.88125      0.9375                       0
   99 │ 0.167911     0.0500899    0.117717      0.0989928    0.172121    0.156448     0.10385      0.0319342       0.88125      0.9375                       0
  100 │ 0.0599326    0.105674     0.14072       0.135698     0.161482    0.0734806    0.163122     0.0212257       0.88125      0.90625                      0
  101 │ 0.0970812    0.053125     0.160304      0.0293675    0.0550747   0.115832     0.0421944    0.00333901      0.88125      0.96875                      0
  102 │ 0.127477     0.198372     0.0430608     0.0693023    0.11465     0.120379     0.187267     0.125125        0.88125      0.9375                       0
  103 │ 0.0927921    0.0948849    0.0530336     0.0210103    0.162098    0.117192     0.0810034    0.0473514       0.88125      0.96875                      0
  104 │ 0.0866878    0.0688369    0.0148681     0.0132209    0.181276    0.147175     0.130583     0.00931891      0.88125      0.96875                      0
  105 │ 0.0819444    0.160446     0.0388175     0.0077453    0.115001    0.147192     0.197046     0.0537439       0.88125      0.90625                      0
  106 │ 0.124098     0.199857     0.16196       0.178471     0.0557528   0.0701969    0.102486     0.0767936       0.88125      0.9375                       0
  107 │ 0.130001     0.179896     0.0987102     0.0488102    0.125857    0.157378     0.199838     0.173832        0.88125      0.96875                      0
  108 │ 0.102545     0.126588     0.186258      0.0605551    0.122591    0.179204     0.180605     0.105383        0.88125      0.96875                      0
  109 │ 0.0596253    0.128699     0.104541      0.0229585    0.17345     0.142229     0.0590198    0.0933339       0.88125      0.9375                       0
  110 │ 0.117835     0.108563     0.0532645     0.000185649  0.196952    0.0839929    0.118627     0.0543495       0.88125      0.96875                      0
  111 │ 0.148764     0.0815715    0.114299      0.110563     0.183961    0.197692     0.179775     0.0937129       0.88125      0.96875                      0
  112 │ 0.00908481   0.0597127    0.163583      0.00806815   0.0274441   0.107473     0.127151     0.078306        0.88125      0.96875                      0
  113 │ 0.177978     0.0286281    0.117302      0.0913703    0.145387    0.118464     0.194597     0.126401        0.88125      0.96875                      0
  114 │ 0.19073      0.0691157    0.198703      0.192777     0.175538    0.192862     0.0572539    0.0528675       0.88125      1.0                          1
  115 │ 0.136467     0.0614058    0.063293      0.0954567    0.0327644   0.146675     0.0418922    0.0583859       0.88125      0.90625                      0
  116 │ 0.090563     0.145554     0.131452      0.128992     0.126403    0.140915     0.137035     0.0172752       0.88125      0.9375                       0
  117 │ 0.134711     0.112929     0.0208785     0.0120184    0.0390982   0.0819919    0.131142     0.0815585       0.88125      0.9375                       0
  118 │ 0.18949      0.101729     0.172584      0.0720455    0.0454779   0.0615474    0.195506     0.0821108       0.88125      0.96875                      0
  119 │ 0.0897635    0.116207     0.109029      0.145019     0.182669    0.181028     0.0761487    0.00145658      0.88125      0.9375                       0
  120 │ 0.0556546    0.159799     0.191258      8.11884e-5   0.164739    0.0666779    0.104888     0.0889928       0.88125      0.96875                      0
  121 │ 0.036467     0.0419732    0.140763      0.183802     0.159554    0.0931351    0.186152     0.180616        0.88125      1.0                          1
  122 │ 0.124742     0.0935365    0.139799      0.106206     0.168837    0.127634     0.15244      0.0784721       0.88125      0.9375                       0
  123 │ 0.170254     0.0644162    0.0500647     0.139494     0.172758    0.130668     0.177917     0.107389        0.88125      0.90625                      0
  124 │ 0.189721     0.0359886    0.131716      0.159379     0.0801173   0.132033     0.164728     0.121213        0.88125      0.96875                      0
  125 │ 0.141141     0.0551269    0.0372428     0.0915919    0.158291    0.152035     0.11853      0.0884199       0.88125      0.9375                       0
  126 │ 0.0812133    0.17653      0.173906      0.0614696    0.130693    0.113993     0.11119      0.0621153       0.88125      0.90625                      0
  127 │ 0.18496      0.0184093    0.108289      0.0152217    0.0458937   0.1731       0.0194704    0.0697562       0.88125      0.9375                       0
  128 │ 0.0488408    0.18809      0.047109      0.105478     0.138731    0.0983017    0.0372547    0.0351062       0.88125      0.96875                      0
  129 │ 0.158832     0.192902     0.0727154     0.0122768    0.174457    0.140661     0.116257     0.00354154      0.88125      0.90625                      0
  130 │ 0.101386     0.146169     0.159538      0.0333641    0.153078    0.142583     0.0698719    0.00245581      0.88125      0.9375                       0
  131 │ 0.114631     0.0750019    0.0872739     0.136715     0.0675894   0.0335617    0.100229     0.0817347       0.88125      0.96875                      0
  132 │ 0.113283     0.0326296    0.17189       0.0324337    0.120796    0.0648007    0.180017     0.0424413       0.88125      0.9375                       0
  133 │ 0.167572     0.109367     0.0417281     0.00156895   0.112941    0.132478     0.108889     0.188486        0.88125      0.96875                      0
  134 │ 0.113687     0.195461     0.148654      0.123211     0.0753253   0.153441     0.0353136    0.0878747       0.88125      0.9375                       0
  135 │ 0.171155     0.117489     0.117809      0.0677944    0.0500879   0.168918     0.108451     0.0368678       0.88125      0.96875                      0
  136 │ 0.182241     0.048344     0.104354      0.11174      0.0962439   0.122356     0.0933125    0.0766596       0.88125      0.9375                       0
  137 │ 0.0761614    0.0367948    0.071499      0.030756     0.183359    0.14867      0.115434     0.067661        0.88125      0.9375                       0
  138 │ 0.119767     0.132514     0.0966646     0.0903092    0.181357    0.177032     0.162809     0.0134207       0.88125      0.9375                       0
  139 │ 0.181507     0.160046     0.166126      0.138408     0.145564    0.189104     0.0356789    0.0484225       0.88125      0.9375                       0
  140 │ 0.0480422    0.0349808    0.180928      0.0477098    0.177234    0.189731     0.198927     0.00637114      0.88125      0.9375                       0
  141 │ 0.0240464    0.0168504    0.0289866     0.0484017    0.191189    0.193122     0.0387664    0.0275623       0.88125      1.0                          1
  142 │ 0.192061     0.102421     0.0260825     0.0289783    0.0815445   0.151153     0.186743     0.064832        0.88125      0.90625                      0
  143 │ 0.0847852    0.181436     0.160773      0.00260213   0.0738242   0.121549     0.0873011    0.0828941       0.88125      0.96875                      0
  144 │ 0.145483     0.0744276    0.118394      0.0221605    0.100068    0.129288     0.184257     0.175684        0.88125      0.9375                       0
  145 │ 0.0973082    0.190609     0.194475      0.00142629   0.0551365   0.12107      0.0526198    0.0588913       0.88125      0.96875                      0
  146 │ 0.0154573    0.102433     0.158178      0.116533     0.129087    0.138436     0.129737     0.0894231       0.88125      0.96875                      0
  147 │ 0.123989     0.0359542    0.143674      0.00794529   0.0503787   0.107231     0.0490399    0.054643        0.88125      0.9375                       0
  148 │ 0.134473     0.0633101    0.156411      0.0614583    0.0969635   0.19144      0.199894     0.0900442       0.88125      0.9375                       0
  149 │ 0.0403348    0.0871852    0.0264802     0.139192     0.153346    0.0969284    0.0771706    0.101697        0.88125      0.96875                      0
  150 │ 0.137848     0.0995825    0.12389       0.122528     0.130837    0.151938     0.124927     0.0144423       0.88125      0.9375                       0
